Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history,log_lambda_range
0.750383227018741,0.08007246376811594,0.08009153318077804,15175,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08886366337537766,-11.512925464970229
0.7322355733570687,0.08478260869565217,0.08421052631578947,14808,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08885950595140457,-11.129161282804555
0.7130000494486476,0.09021739130434783,0.08970251716247139,14419,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08885373920202255,-10.745397100638879
0.6931216931216931,0.0967391304347826,0.09610983981693363,14017,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08884571492671967,-10.361632918473205
0.6746773475745438,0.10326086956521739,0.10251716247139588,13644,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08883455395698547,-9.977868736307531
0.6563318993225535,0.10905797101449276,0.1080091533180778,13273,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08881907910108566,-9.594104554141857
0.6377392078326658,0.11557971014492753,0.11441647597254005,12897,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08879765123128891,-9.210340371976184
0.6201354892943678,0.12065217391304348,0.11990846681922197,12541,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08876793086528778,-8.826576189810508
0.6026801166988083,0.12608695652173912,0.12494279176201373,12188,1.0,1.0,0.9961777523693336,1.0,0.9965095986038394,0.6931472420692444,0.08872668445110321,-8.442812007644834
0.5849280522177719,0.1322463768115942,0.1322654462242563,11829,1.0,1.0,0.9961777523693336,1.0,0.9965095986038394,0.6931472420692444,0.08866963535547256,-8.05904782547916
0.5675715769173713,0.13876811594202898,0.13867276887871854,11478,1.0,1.0,0.9952207088860872,1.0,0.9956331877729258,0.6931472420692444,0.08859097212553024,-7.6752836433134854
0.5488799881323245,0.1463768115942029,0.14553775743707092,11100,1.0,1.0,0.9961777523693336,1.0,0.9965095986038394,0.6931472420692444,0.08405853807926178,-7.291519461147811
0.5311773722988676,0.1536231884057971,0.15240274599542333,10742,1.0,1.0,0.9961777523693336,1.0,0.9965095986038394,0.6931472420692444,0.083917036652565,-6.907755278982137
0.51451317806458,0.16014492753623188,0.1588100686498856,10405,1.0,1.0,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.08372271806001663,-6.523991096816463
0.494486475794887,0.1681159420289855,0.16750572082379864,10000,1.0,1.0,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.07928460836410522,-6.140226914650788
0.47302576274538893,0.1786231884057971,0.177116704805492,9566,1.0,1.0,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.07894287258386612,-5.756462732485113
0.4487959254314394,0.1891304347826087,0.1874141876430206,9076,1.0,1.0,0.9961777523693336,1.0,0.9965095986038394,0.6931472420692444,0.07455871999263763,-5.3726985503194395
0.4235771151659002,0.20253623188405798,0.20091533180778032,8566,1.0,1.0,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.07027657330036163,-4.988934368153766
0.39662760223507887,0.21594202898550724,0.21464530892448513,8021,1.0,1.0,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.06606358289718628,-4.605170185988091
0.36863966770508827,0.23043478260869565,0.2288329519450801,7455,1.0,1.0,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.06188211962580681,-4.221406003822416
0.3396627602235079,0.2467391304347826,0.24622425629290617,6869,1.0,1.0,0.9961777523693336,1.0,0.9965095986038394,0.6931472420692444,0.05480912700295448,-3.8376418216567423
0.30796617712505564,0.2688405797101449,0.26704805491990846,6228,1.0,1.0,0.9961777523693336,1.0,0.9965095986038394,0.6931472420692444,0.050792843103408813,-3.4538776394910684
0.27241259951540325,0.2942028985507246,0.2919908466819222,5509,0.9999997049821145,0.9999969780508297,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.04671167582273483,-3.0701134573253928
0.23522721653562775,0.3253623188405797,0.32265446224256294,4757,0.9999991149463436,0.9999909183537076,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.040416356176137924,-2.686349275159719
0.19581664441477525,0.36485507246376814,0.3620137299771167,3960,0.9999988199284582,0.9999879748886157,0.9971342013526058,1.0,0.997384481255449,0.6931472420692444,0.0363549180328846,-2.3025850929940455
