True,ASDC,B_intermediate,B_memory,B_naive,CD14_Mono,CD16_Mono,CD4_CTL,CD4_Naive,CD4_Proliferating,CD4_TCM,CD4_TEM,CD8_Naive,CD8_Proliferating,CD8_TCM,CD8_TEM,Doublet,Eryth,HSPC,ILC,MAIT,NK,NK_CD56bright,NK_Proliferating,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC,Uncertain
ASDC,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,20,6
B_intermediate,0,1425,173,352,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,0,0,0,466
B_memory,0,114,2918,20,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,223
B_naive,0,79,27,7352,0,4,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,4,0,0,0,0,0,245
CD14_Mono,4,0,0,1,42181,129,1,4,0,2,3,0,0,1,2,2,0,11,0,0,1,0,0,2,16,15,0,22,0,0,0,293
CD16_Mono,0,0,1,0,238,5717,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,358
CD4_CTL,0,0,0,0,0,0,1442,0,0,4,6,0,0,0,90,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,0,185
CD4_Naive,0,0,0,0,0,0,0,16336,0,309,6,37,0,1,1,0,0,1,0,0,0,0,0,0,0,29,0,0,4,10,0,745
CD4_Proliferating,0,0,0,0,1,0,0,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42
CD4_TCM,0,0,1,0,0,0,8,700,2,12308,236,3,0,52,15,0,0,1,0,4,1,0,1,0,1,28,0,0,5,13,0,1510
CD4_TEM,0,0,0,0,0,0,53,5,0,1363,1270,0,0,60,67,0,0,1,0,99,0,0,0,1,0,20,0,0,16,23,0,1304
CD8_Naive,2,0,0,0,0,0,0,214,0,23,3,9388,0,27,96,0,0,0,0,0,0,0,0,0,1,19,0,0,3,1,0,991
CD8_Proliferating,0,0,0,0,0,0,3,0,1,0,0,0,3,1,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,60
CD8_TCM,0,0,0,0,0,0,0,21,0,240,40,104,0,1328,124,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,1011
CD8_TEM,0,1,0,0,1,0,30,4,0,31,199,47,0,34,10148,0,0,1,0,10,73,11,0,0,0,13,0,0,6,100,0,1018
Doublet,0,0,0,0,204,284,0,17,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,83
Eryth,0,0,1,0,18,0,0,1,0,4,0,7,0,0,4,0,0,11,0,1,1,0,0,0,1,1,0,0,0,1,0,32
HSPC,0,0,1,10,1,1,0,0,0,5,0,8,0,0,0,0,0,252,0,0,0,0,0,0,0,10,0,0,1,2,0,38
ILC,0,0,0,0,0,0,0,0,0,90,7,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,4,0,22
MAIT,0,0,0,0,0,0,2,0,0,17,43,1,0,0,57,0,0,0,0,2306,0,1,0,0,0,0,0,0,0,5,0,352
NK,1,1,0,0,1,0,1,1,0,1,4,0,0,1,41,0,0,2,0,5,16792,28,6,0,0,9,0,0,0,21,0,258
NK_CD56bright,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,129,596,0,0,0,0,0,0,0,2,0,213
NK_Proliferating,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,106,3,89,0,0,0,0,0,0,1,0,342
Plasmablast,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,335,0,1,0,0,0,0,0,15
Platelet,1,0,1,3,35,4,1,16,0,4,3,12,0,0,8,0,0,1,0,1,16,3,0,0,2097,13,0,1,0,4,2,67
Treg,1,0,0,0,0,0,0,855,0,992,9,31,0,9,0,0,0,1,0,0,0,0,0,0,1,189,0,0,7,4,0,408
cDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,7
cDC2,0,0,0,0,137,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2050,0,0,0,308
dnT,0,0,0,0,0,0,0,35,1,6,2,36,0,1,5,0,0,0,0,0,0,0,0,0,0,8,0,0,189,6,0,67
gdT,0,0,0,0,0,0,2,38,0,15,14,6,0,1,167,0,0,0,0,34,93,0,0,0,0,4,0,0,7,2501,0,767
pDC,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,12
