,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
ASDC,0.9995286376978714,0.0,0.0,0.0,0.5,0.0004713623021286377,0.0
B_intermediate,0.9905727405286603,0.8182201799545921,0.47917737789203085,0.6041854275258711,0.7387767145740025,0.3999795828601015,0.6219555543976243
B_memory,0.9961286376068038,0.9207787237625343,0.8858395799384391,0.9028304399873456,0.9421271040034354,0.8179324614978153,0.9011049609257707
B_naive,0.9945754722252763,0.950018450298141,0.9355371098235553,0.9426916642017715,0.9665351711790409,0.8918598555108925,0.9398922076197348
CD14_Mono,0.9898154735965182,0.975003654841197,0.9867064859986115,0.9808193632390347,0.9888182860394066,0.9655502596569037,0.9739196993056847
CD16_Mono,0.993795011514701,0.896488766639554,0.9511458931985315,0.9229596998218799,0.9733374303123885,0.854566333202689,0.920194070476337
CD4_CTL,0.9966850076364233,0.9049627554224463,0.7725086356907255,0.8332521700510511,0.8858129901639729,0.7016445548440673,0.8343748465627663
CD4_Naive,0.9658996034818295,0.8480821446325418,0.8338694176214757,0.8408760653827297,0.9078815302286936,0.7251208664923005,0.8218430979351314
CD4_Proliferating,0.9996909102496738,0.8216541353383459,0.6967320261437909,0.7507395604725973,0.8483118866203352,0.5739804563487875,0.754794630137744
CD4_TCM,0.963728248448664,0.8143499438818089,0.7848203039089154,0.7992633663093733,0.8833421465187451,0.6589418807525974,0.7795243530436786
CD4_TEM,0.9765477734732066,0.7433862911900391,0.17454789214956057,0.282467790660747,0.5864524269476687,0.1517910551890868,0.3529277167310042
CD8_Naive,0.9915772874363084,0.9432268461443636,0.9294178710794652,0.9362486043760949,0.9627138676479046,0.8813521455230486,0.9317817946838524
CD8_Proliferating,0.999520912111165,0.9,0.19333333333333336,0.30652366209641746,0.5966550693263233,0.17378923998351753,0.4042979880812624
CD8_TCM,0.9900086511765396,0.92305581894936,0.47961705684048417,0.6310161401266763,0.7394426913198295,0.45185651604315613,0.6613519863993236
CD8_TEM,0.9850400234925669,0.9098717112390078,0.8809424034405945,0.8951612346415898,0.9370595546320691,0.8101771424377453,0.8872501300505373
Doublet,0.9971872746739876,0.8851648351648352,0.2872637457044674,0.43191297702716946,0.6435581872021384,0.2582085414362286,0.5019369462281084
Eryth,0.9995672751854521,0.5666666666666667,0.18461538461538463,0.2697076023391813,0.592299961046337,0.1722121418532186,0.31561848061421394
HSPC,0.9992659113206133,0.9247118533890042,0.70355587808418,0.7960723353692856,0.8517121239483378,0.6488685362507429,0.8046943767897924
ILC,0.9991809110570422,0.0,0.0,0.0,0.5,0.0008190889429578466,0.0
MAIT,0.9945522826302617,0.8482446607494838,0.8333974908046556,0.8402715971736153,0.9153856974800098,0.7094159977887741,0.8377853206570338
NK,0.9855422917151966,0.914096615876925,0.9534863492739731,0.9333526205370793,0.9714178601860347,0.876499857325818,0.9255223513638617
NK_CD56bright,0.9978286398915689,0.8583736988966439,0.7532980132450332,0.8019557460729434,0.8762798103167156,0.6479959464555888,0.8028243383392276
NK_Proliferating,0.9986090919438162,0.8562943857791069,0.7120950888192267,0.7748452758434217,0.8558382006119307,0.6094974900124132,0.778819690683004
Plasmablast,0.9997372733241685,0.9816858658582795,0.9008766803039159,0.9390135955353347,0.950418978318005,0.8845216420549885,0.9400196477453472
Platelet,0.9985704556503444,0.9821139638687949,0.9160346034156728,0.9478023190508702,0.9578958062389045,0.9007970767324096,0.9477314871292035
Treg,0.9844991195553645,0.0,0.0,0.0,0.5,0.015500880444635556,0.0
cDC1,0.999953636328474,0.9685897435897436,0.9833333333333334,0.9754897788902795,0.9916511977157473,0.9522857539015004,0.975702844830898
cDC2,0.9977822801010128,0.9341735679276402,0.9215436408977556,0.9277921051349303,0.9602616607234706,0.8621090667424987,0.9267002817340908
dnT,0.9985704574426615,0.9627838827838827,0.36491228070175435,0.5281409353698511,0.6824406516334355,0.35292874066306734,0.5915294013823477
gdT,0.9932772828541621,0.8632739953650239,0.8348704151883268,0.8485869317065976,0.9159015248254047,0.7243211076313679,0.8454036474393893
pDC,0.9998763652343976,0.9815381497618807,0.9956521739130434,0.9884990578928736,0.9977755914129677,0.9772760638608584,0.988485482602387
